split,scope,model,rows,queries,roc_auc,pairwise_accuracy
validation,full,BM25,5282,1809,0.3110830162460597,
validation,u_eligible,BM25,4976,1656,0.31359359539607706,0.2822061191626409
validation,full,Direction-selected BM25,5282,1809,0.6889169837539403,
validation,u_eligible,Direction-selected BM25,4976,1656,0.686406404603923,0.717793880837359
validation,full,Length LR,5282,1809,0.6033906854947227,
validation,u_eligible,Length LR,4976,1656,0.6030135942320005,0.6111614331723026
validation,full,Lexical LR,5282,1809,0.709880133016779,
validation,u_eligible,Lexical LR,4976,1656,0.7040377088062395,0.7257950885668276
validation,full,Combined LR,5282,1809,0.7140007687367935,
validation,u_eligible,Combined LR,4976,1656,0.7087374861765905,0.721568035426731
validation,full,DeBERTa ensemble,5282,1809,0.7416211686398022,
validation,u_eligible,DeBERTa ensemble,4976,1656,0.737896149816658,0.737067230273752
test,full,BM25,5316,1808,0.32935022058905433,
test,u_eligible,BM25,5056,1678,0.3308374280470068,0.29779499404052445
test,full,Direction-selected BM25,5316,1808,0.6706497794109456,
test,u_eligible,Direction-selected BM25,5056,1678,0.6691625719529932,0.7022050059594755
test,full,Length LR,5316,1808,0.5854413189869089,
test,u_eligible,Length LR,5056,1678,0.5803905555896636,0.5695371473976957
test,full,Lexical LR,5316,1808,0.6979055342854952,
test,u_eligible,Lexical LR,5056,1678,0.6998084429079419,0.701311084624553
test,full,Combined LR,5316,1808,0.6972234216890838,
test,u_eligible,Combined LR,5056,1678,0.7001055345850702,0.7081644815256257
test,full,DeBERTa ensemble,5316,1808,0.7615359589972357,
test,u_eligible,DeBERTa ensemble,5056,1678,0.7595930267431907,0.759564958283671
