claim_id,patent_application_id,cited_document_id,text,text_b,label,_date,_row_id,_component_id,_supercomponent_id,_priority_component_id
27563_1,EP2797249A1,EP2068481,Data storage device encoding a program in machinereadable and machineexecutable form to perform the optimizing andor reconfiguring step of the method of any one of the previous claims.,FIG.4 is a highlevel flowchart showing a method for determining data rate change rules during data receptions.Inputs include RSSI 110 SNR 112 SNR VAR 114 and Packet Error Rate PE 116.A waveform setting WF 118 is also saved.The rate adaptation algorithm requires a suitable number of data packets 122.If the average SNR RSSI SNR Var meet specific thresholds 124 the rate is increased if the packet error is zero 126.If a change in average SNR or RSSI since the entered waveform exceeds a threshold 128 a rate increase is allowed if the packet error is zero 130.A SNR and SNR VAR based look up table rate selection is performed if the threshold is met for the current waveform 132 to force the best match rate change 134.If the packet error rate exceeds a threshold 10 the rate and bandwidth is decreased as necessary 136.,1,2014-10-29,pm_row_0002110,component_000535,supercomponent_000813,pc_b0d42d29f0fb
112999_0,EP2868599A1,EP1916218,A device for handling and emptying waste collection containers comprising a coupling head comprising a head structure 50 bearinga first holding member 10 suitable for being coupled to a handle 1 fixed on an outer surface of a container 3 for holding said container 3a second holding member 20 suitable for holding a gate operator element 2 arranged in the container 3 adjacent andor concentric to said handle 1 and mechanically linked to lower gates 4 of the container 3 for opening and closing same said second holding member 20 being installed in a moving carriage 51 movable along said head structure 50 andoperating means suitable for shifting said moving carriage 51 between gate closing and opening positions in which the gate operator element 2 of the container 3 held by said second holding member 20 performs the closure and allows the opening of said lower gates 4 of the container 3 respectively characterized in thatsaid first holding member 10 comprises one or more moving elements operated by a holding activation device 40 for moving between holding and release positions which determine the holding and the release of said handle 1said second holding member 20 comprises one or more moving elements operated by a holding activation device 40 for moving between holding and release positions which determine the holding and the release of said gate operator element 2 andthe head structure 50 integrates retaining elements 52 which contact with stops 21 of the one or more moving elements of the second holding member 20 preventing the movement thereof towards said release position being in said holding situation and said moving carriage 51 being in any position of travel except in a position in which the held gate operator 2 is in a standby situation.,In the shown example the pistoncylinder combination 20 can be operated hydraulically and is connected for this purpose to a hydraulic circuit which is for instance mounted on truckmounted crane 12 or on the refuse collection truck.Two hydraulic conduits 35 36 run through upper wall 15 of the gripper frame to pistoncylinder combination 20.In the shown example this combination 20 is dualaction so that conduits 35 36 can each function as desired as pressure conduit feed or as return conduit discharge.Conduit 35 debouches in a controllable switch valve 37 from which a conduit 38 leads to the upper side of cylinder 21 and a conduit 39 leads to the underside of the hollow mainpiston 22.Conduit 36 debouches in a shutoff valve 40 to be elucidated hereinbelow from which a conduit 41 runs to switch valve 37.,0,2015-05-06,pm_row_0003195,component_000675,supercomponent_000084,pc_57c89f906fcc
27564_1,EP2797249A1,EP2068481,System for automatic reconfiguration of physical layer retransmission parameters associated with a line for enhanced impulse noise protection comprising a monitoring and obtaining module configured for monitoring line performance of the line and for obtaining at least one metric representative for impulse noise based on the monitored line performance an optimizing module configured for optimizing at least one physical layer retransmission parameter based on the at least one metric a reconfiguring module configured for reconfiguring the at least one physical layer retransmission parameter of the line.,FIG.4 is a highlevel flowchart showing a method for determining data rate change rules during data receptions.Inputs include RSSI 110 SNR 112 SNR VAR 114 and Packet Error Rate PE 116.A waveform setting WF 118 is also saved.The rate adaptation algorithm requires a suitable number of data packets 122.If the average SNR RSSI SNR Var meet specific thresholds 124 the rate is increased if the packet error is zero 126.If a change in average SNR or RSSI since the entered waveform exceeds a threshold 128 a rate increase is allowed if the packet error is zero 130.A SNR and SNR VAR based look up table rate selection is performed if the threshold is met for the current waveform 132 to force the best match rate change 134.If the packet error rate exceeds a threshold 10 the rate and bandwidth is decreased as necessary 136.,1,2014-10-29,pm_row_0003340,component_000535,supercomponent_000813,pc_b0d42d29f0fb
96113_1,EP2869247A1,EP2196775,A method of transferring aircraft data from an aircraft to a portable electronic device the method comprising receiving at the portable electronic device the aircraft data from a data connection with an aircraft data source wherein the connection is an avionics data bus or a flight data recorder data bus without writingdata back to the aircraft or from a user interface while being capable of receiving aircraft data via the data connection and executing an application on the portable electronic device using the aircraft data to present new information about the aircraft or its operating environment that is not available for display on a cockpit display but which is displayable on the portable electronic device based on the aircraft data received by the portable electronic device.,It was noted above that the ACMS 204 and the CMCF 206 may each generate various faults or warnings.These faults or warnings are typically indicative of a potential issue with one or more systems devices or components within the aircraft.Most if not all of these potential issues may be resolved by reference to an appropriate page in a flight manual e.g.the aircraft operating manual or the aircrew operating manual or to an appropriate checklist.The EFB 100 is thus coupled to receive fault data from for example the ACMS 204 andor CMCF 206 and is configured upon receipt of the fault data to automatically render an image of the determined page in the associated flight manual or an image of the appropriate checklist.More specifically and as shown in flowchart form in FIG.3 the processing system 104 in the EFB 100 continuously determines whether fault data have been received 302.Upon receipt of fault data the processing system determines the page in the associated flight manual or the appropriate checklist that corresponds to the received fault data 304.The processing system 104 also supplies display commands to the display device 102 that cause the display device 102 to automatically render the image of the determined page in the associated flight manual or the image of the appropriate checklist 306.,1,2015-05-06,pm_row_0003679,component_000678,supercomponent_001457,pc_8ea9d31e2a5b
2646_1,EP2510891A1,EP1594209,Battery assembly 301 for use with a surgical device 300 having a battery terminal and operational parameters the battery assembly 301 comprising a housing having an exterior shape formed to removably connect with the battery terminal containing at least one modular battery operable to supply power to the surgical device 300 at the battery terminal having a control circuit comprising at least one microprocessor a memory and a realtime clock the control circuit being communicatively coupled to the at least one modular battery and operable to detect an identity of the surgical device 300 determine at least one piece of information pertaining to at least one of the operational parameters of the surgical device 300 based upon the detected identity record the at least one piece of information at least in the memory 5706 and selectively allow or prevent the at least one modular battery from supplying power to the surgical device 300 dependent upon the at least one piece of information.,The monitoring and control circuitry 208 may compare measured values to associated threshold levels and identify an overload condition if one of the measured quantities is greater than or equal to the associated threshold level.For example an overload condition may be a discharge current greater than or equal to a threshold representative of a maximum discharge current.In another example an overload condition may be a charging current level to the battery cells 203 greater than or equal to a threshold representative of a maximum charging current.In yet another example an overload condition may be a voltage level of a battery cell greater than or equal to a voltage threshold.In yet another embodiment an overload condition may be a temperature of a component greater than or equal to a temperature threshold.Upon detection of an overload condition the monitoring and control circuitry 208 may provide an output control signal to protect components of the power supply system 200.The output control signal may be provided to one or more switches within the battery pack 102 or may be provided as a control input to other circuitry located outside the battery pack 102 via path 127.In one embodiment the output control signal may be provided to the discharge switch 209 to open the switch 209 where the overload condition is a discharge current from the battery cells 203 greater than or equal to a maximum discharge current threshold.,1,2012-10-17,pm_row_0005810,component_000063,supercomponent_000801,pc_3096e181f8d0
27561_1,EP2797249A1,EP2068481,Method for automatic reconfiguration of physical layer retransmission parameters associated with a line for enhanced impulse noise protection comprising monitoring line performance of the line and obtaining at least one metric representative for impulse noise based on the monitored line performance optimizing at least one physical layer retransmission parameter based on the at least one metric reconfiguring the at least one physical layer retransmission parameter of the line.,FIG.4 is a highlevel flowchart showing a method for determining data rate change rules during data receptions.Inputs include RSSI 110 SNR 112 SNR VAR 114 and Packet Error Rate PE 116.A waveform setting WF 118 is also saved.The rate adaptation algorithm requires a suitable number of data packets 122.If the average SNR RSSI SNR Var meet specific thresholds 124 the rate is increased if the packet error is zero 126.If a change in average SNR or RSSI since the entered waveform exceeds a threshold 128 a rate increase is allowed if the packet error is zero 130.A SNR and SNR VAR based look up table rate selection is performed if the threshold is met for the current waveform 132 to force the best match rate change 134.If the packet error rate exceeds a threshold 10 the rate and bandwidth is decreased as necessary 136.,1,2014-10-29,pm_row_0006154,component_000535,supercomponent_000813,pc_b0d42d29f0fb
67576_0,EP2869247A1,EP2378676,A method of transferring aircraft data from an aircraft to a portable electronic device the method comprising receiving at the portable electronic device the aircraft data from a data connection with an aircraft data source wherein the connection is an avionics data bus or a flight data recorder data bus without writingdata back to the aircraft or from a user interface while being capable of receiving aircraft data via the data connection and executing an application on the portable electronic device using the aircraft data to present new information about the aircraft or its operating environment that is not available for display on a cockpit display but which is displayable on the portable electronic device based on the aircraft data received by the portable electronic device.,In one embodiment a communications management unit comprises a legacy router providing access to a first set of airground data links an internet protocol router providing access to a second set of airground data links an applications and routing policy that provides criteria for selecting of a data link from one of the first set of airground data links or the second set of airground data links and a data link manager that selects the data link from either the first set of airground data links and second sets of airground data links based on information provided by the applications and routing policy and controls the legacy router and the internet protocol router to route communication messages via the selected data link.,0,2015-05-06,pm_row_0006363,component_000678,supercomponent_001457,pc_8ea9d31e2a5b
27562_1,EP2797249A1,EP2068481,Computer device or other hardware device programmed to perform the optimizing andor reconfiguring step of the method of any one of the previous claims.,FIG.4 is a highlevel flowchart showing a method for determining data rate change rules during data receptions.Inputs include RSSI 110 SNR 112 SNR VAR 114 and Packet Error Rate PE 116.A waveform setting WF 118 is also saved.The rate adaptation algorithm requires a suitable number of data packets 122.If the average SNR RSSI SNR Var meet specific thresholds 124 the rate is increased if the packet error is zero 126.If a change in average SNR or RSSI since the entered waveform exceeds a threshold 128 a rate increase is allowed if the packet error is zero 130.A SNR and SNR VAR based look up table rate selection is performed if the threshold is met for the current waveform 132 to force the best match rate change 134.If the packet error rate exceeds a threshold 10 the rate and bandwidth is decreased as necessary 136.,1,2014-10-29,pm_row_0007385,component_000535,supercomponent_000813,pc_b0d42d29f0fb
67575_0,EP2869247A1,EP2378676,An integrated communication and application system for an aircraft the system comprising a portable electronic device detachably mounted to an aircraft cockpit holder communicatively connected to an aircraft computer system via an aircraft integration device the device being configured to read all aircraft data from the aircraft computer system while being unable to write any data back to the aircraft computer system and one or more applications executing on the portable electronic device wherein the one or more applications process the data received from the aircraft computer and display information based on data received from the aircraft computer.,Figure 3 is a flowchart of one embodiment of a method 300 of selecting a data link for a communications message.In one embodiment the method 300 selects an IPbased data link for legacy ATN applications 136 legacy ACARS applications 138 and IPbased applications 150.As used herein communications message refers to any data or form of data.The method 300 begins at 310 with receiving an indication at a data link manager that a communications message is ready to be transmitted over a data link.Alternatively the method 300 determines at the data link manager what applications require communications via an airground data link.,0,2015-05-06,pm_row_0010455,component_000678,supercomponent_001457,pc_8ea9d31e2a5b
19264_0,EP2797249A1,EP1901470,Method for automatic reconfiguration of physical layer retransmission parameters associated with a line for enhanced impulse noise protection comprising monitoring line performance of the line and obtaining at least one metric representative for impulse noise based on the monitored line performance optimizing at least one physical layer retransmission parameter based on the at least one metric reconfiguring the at least one physical layer retransmission parameter of the line.,Once the retransmission request is processed and the corresponding DTU has been identified by its retransmit container the elapsed time since the first transmission of this DTU is verified according to step 532.In an embodiment if the elapsed time falls within the allowed retransmit window an uncorrupted copy of the DTU is retransmitted according to step 535.,0,2014-10-29,pm_row_0010586,component_000535,supercomponent_000813,pc_b0d42d29f0fb
